chr1	75465296	75508244	NM_001243664	0	-	75465385	75508212	0	8	201,136,57,148,63,189,96,155,	0,11425,20986,26474,26728,35769,39257,42793,
chr1	5698507	6731132	NM_001044603	0	+	5698507	6729846	0	11	166,229,122,84,116,137,62,150,84,118,1399,	0,160362,224013,370124,439504,592645,812774,826595,994107,1025825,1031226,
chr1	73253304	73510244	NM_001167653	0	-	73253304	73510244	0	8	159,33,132,174,75,199,135,278,	0,27538,48205,49420,82314,106754,149871,256662,
chr1	77585913	77642342	NM_001080206	0	-	77585913	77642342	0	11	209,132,154,77,180,165,150,104,99,97,247,	0,10778,30879,31123,32747,36536,39881,41003,44299,52245,56182,
chr1	85758623	86017579	NM_001123219	0	-	85758623	86017579	0	10	141,87,111,98,109,156,134,69,78,208,	0,71926,167857,177254,203119,205053,205423,243559,246232,258748,
chr1	107997304	108131723	NM_001243563	0	+	108003699	108131137	0	12	99,98,222,139,130,49,27,153,46,90,84,667,	0,6374,73642,82787,101201,107787,108541,117080,118263,130344,130541,133752,
chr1	122633627	122688609	NM_001206341	0	+	122633907	122685089	0	18	304,179,325,136,230,25,116,135,81,168,142,170,133,163,221,155,220,4200,	0,8356,10502,13455,17533,18050,18724,23354,25146,25780,26091,29689,30624,32730,34495,36698,43102,50782,
chr1	128960122	129013424	NM_214171	0	-	128960728	129013201	0	24	633,59,117,79,69,65,58,78,114,18,37,209,12,170,161,78,86,84,147,169,134,119,70,532,	0,1029,1338,1658,1825,2366,2536,2948,4018,6625,8220,8935,9780,10414,11725,12641,14652,15615,17664,18622,19485,21066,23205,52770,
chr1	188704259	188925855	NM_001244640	0	-	188705091	188925855	0	9	875,59,47,70,139,208,732,774,241,	0,5651,5795,6353,7825,10764,108217,118752,221355,
chr1	189690481	189907808	NM_001166316	0	+	189690481	189907808	0	8	89,153,74,104,141,126,122,121,	0,55712,57518,67005,73033,78455,118475,217206,
chr1	191535265	191925333	NM_214271	0	+	191535903	191925179	0	18	13,263,75,72,69,158,143,142,297,24,65,103,189,131,173,244,159,340,	0,623,70948,71535,113367,124098,124836,125865,126468,135152,136603,137749,230824,321421,331404,335094,386511,389728,
chr1	230607468	230906988	NM_001038623	0	-	230607468	230906972	0	7	191,154,130,129,155,185,152,	0,5841,65423,68428,86629,188353,299368,
chr1	265285297	265308179	NM_214179	0	-	265285980	265307311	0	6	931,148,120,626,142,970,	0,8659,11273,19013,21628,21912,
chr1	4738530	4883241	NM_001007195	0	-	4738530	4883241	0	8	17,75,300,88,144,117,143,142,	0,3948,6777,8438,37224,83841,104742,144569,
chr1	6807761	6883255	NM_001143697	0	+	6807801	6883113	0	8	218,170,162,154,103,76,199,237,	0,57065,64951,65426,68334,70521,72785,75257,
chr1	7062398	7109521	NM_001044590	0	+	7062459	7109278	0	19	110,136,107,115,140,121,119,163,146,160,179,149,94,121,75,141,107,146,405,	0,4727,6206,11113,12819,14734,17259,18502,19552,23153,29193,31064,32314,35519,37478,38130,40398,45965,46718,
chr1	7369484	7472480	NM_001244473	0	-	7369489	7472392	0	48	407,70,150,187,188,147,115,137,235,147,208,162,150,219,257,120,127,191,137,98,131,216,88,176,144,171,196,102,102,180,169,116,178,148,138,144,141,165,104,166,163,106,130,133,99,125,140,237,	0,1558,2583,6399,8850,9606,10517,11823,12680,14138,14569,16682,19537,21579,22309,22891,23751,25209,26421,30801,31149,32301,32962,33289,33543,34244,36599,38605,39684,42023,43603,44201,44929,45555,46294,50911,52379,54801,60251,61172,61492,64104,66291,67622,72506,74454,83395,102759,
chr1	9667903	9718226	NM_001185165	0	+	9667928	9717734	0	4	113,101,138,591,	0,598,3483,49732,
chr1	14221333	14491165	NM_214220	0	-	14221333	14491165	0	8	235,184,134,139,336,117,191,452,	0,4727,30693,74605,152639,195001,235619,269380,
chr1	21350286	21370423	NM_001044545	0	+	21364894	21369959	0	3	54,480,1704,	0,14280,18433,
chr1	26475878	26485837	NM_001267890	0	-	26475878	26485837	0	8	285,182,905,181,171,148,191,295,	0,986,1816,3612,4624,4959,5723,9664,
chr1	27908788	27923634	NM_001190176	0	+	27909775	27923523	0	7	325,117,105,113,236,355,298,	0,933,6050,6809,8345,10046,14548,
chr1	29747894	29753611	NM_001244459	0	+	29747947	29752560	0	12	129,76,76,105,84,132,113,124,96,156,90,1219,	0,264,795,1282,1491,1690,2085,2549,3126,3698,3960,4498,
chr1	35985984	36066432	NM_001315656	0	-	35985984	36066432	0	5	194,198,147,192,97,	0,40992,46074,47914,80351,
chr1	37221162	37231321	NM_001243329	0	-	37221320	37231176	0	5	844,82,84,79,228,	0,5393,7714,7926,9931,
chr1	42730168	42894299	NM_213885	0	+	42730472	42893865	0	12	925,97,116,81,95,124,94,116,220,173,116,561,	0,41971,44402,57537,94534,137739,139723,145790,155788,156807,163091,163570,
chr1	44939941	44961317	NM_001243033	0	+	44941509	44961129	0	10	381,573,111,122,169,189,166,152,221,236,	0,1554,4333,6423,8875,13341,13825,18040,19545,21140,
chr1	57376730	57424058	NM_001243623	0	-	57376844	57423781	0	7	266,149,143,115,200,296,413,	0,8818,14135,15498,16806,25195,46915,
chr1	66837663	66856947	NM_001044609	0	-	66837663	66856947	0	5	313,120,195,210,182,	0,2883,5674,11209,19102,
chr1	67218909	67293136	NM_001172585	0	-	67219740	67292959	0	11	1562,403,169,148,107,200,86,105,94,83,352,	0,3826,33115,58199,58973,59272,60074,60300,60966,64501,73875,
chr1	70994034	71104776	NM_001195340	0	-	70994787	71104748	0	24	856,114,71,99,132,197,150,88,98,112,88,69,335,151,107,102,97,83,132,76,105,90,55,104,	0,1523,8745,9093,16820,26053,26764,33883,34155,34348,37919,38251,45357,53056,59362,60061,61131,65222,80021,88612,95759,96582,98084,110638,
chr1	71496589	71636145	NM_001004050	0	-	71496756	71635953	0	15	462,157,132,95,137,104,198,192,106,122,210,131,134,75,237,	0,3374,14529,17617,20316,49525,55533,59838,74985,100294,105104,112131,113414,134135,139319,
chr1	72404781	72520393	NM_001037152	0	-	72405410	72515907	0	9	641,86,118,96,152,79,128,165,284,	0,660,17614,49783,72286,89862,102503,111018,115328,
chr1	74629694	74738437	NM_001135959	0	+	74629694	74738437	0	2	618,1401,	0,107342,
chr1	75694227	75847021	NM_001243250	0	+	75694396	75846863	0	23	235,99,124,157,51,149,129,101,163,98,134,117,46,149,167,139,59,148,84,196,83,87,336,	0,23848,26232,33408,37442,44894,48712,52140,53386,53969,59641,61151,62992,63698,64838,80393,88335,90387,93123,95450,97175,97687,152458,
chr1	76391111	76417147	NM_001097426	0	-	76391996	76414651	0	5	1453,177,109,176,65,	0,12802,17954,23368,25971,
chr1	89993756	90112993	NM_214021	0	-	89994479	90084765	0	33	923,219,132,104,161,79,209,151,91,130,78,131,94,39,174,96,128,73,92,158,92,53,181,81,165,98,56,106,130,74,70,143,76,	0,1847,8883,10194,19723,20879,22055,24305,25215,27208,29977,30140,36052,38396,41957,42683,46127,47850,50662,52395,52858,52950,59503,62959,67476,68186,70538,72964,75695,79070,85196,90892,119161,
chr1	90696745	90703407	NM_001097484	0	+	90696824	90703266	0	4	97,90,85,200,	0,1723,5075,6462,
chr1	99081939	99110671	NM_001243029	0	+	99082261	99108684	0	10	419,182,180,115,222,243,121,219,105,2009,	0,3852,5931,7978,14206,16827,18315,20023,23663,26723,
chr1	108909697	108924485	NM_001243362	0	-	108909956	108924458	0	6	791,166,352,191,67,390,	0,9880,11558,12194,13900,14398,
chr1	113433683	113583726	NM_001143714	0	-	113433728	113583671	0	9	157,219,118,246,234,118,183,191,140,	0,4890,6947,19326,22525,25772,26770,30823,149903,
